scenario,s,S,average_daily_cost,average_fixed_order_cost,average_unit_order_cost,average_holding_cost,average_shortage_cost,stockout_rate,fill_rate,average_ending_inventory,average_order_quantity,order_frequency
baseline_mixed,6,13,24.7593307543,11.0362993572,6.2600000000,7.4630313971,0.0000000000,0.0000000000,1.0000000000,7.4630313971,3.1300000000,0.3678766452
baseline_mixed,7,16,24.7704125208,8.9932386981,6.2600000000,9.5171738227,0.0000000000,0.0000000000,1.0000000000,9.5171738227,3.1300000000,0.2997746233
baseline_mixed,1,6,24.8366406551,14.5937890468,5.5406007025,1.8246537159,2.8775971898,0.1958595217,0.8850799844,1.8246537159,2.7703003513,0.4864596349
baseline_mixed,5,11,24.8605190392,12.6214260665,6.2600000000,5.9790929727,0.0000000000,0.0000000000,1.0000000000,5.9790929727,3.1300000000,0.4207142022
baseline_mixed,7,24,24.8963630687,5.0883791313,6.2600000000,13.5479839374,0.0000000000,0.0000000000,1.0000000000,13.5479839374,3.1300000000,0.1696126377
baseline_mixed,7,15,25.2120597844,9.9437288640,6.2600000000,9.0083309204,0.0000000000,0.0000000000,1.0000000000,9.0083309204,3.1300000000,0.3314576288
baseline_mixed,8,20,25.2689135862,6.9792498066,6.2600000000,12.0296637796,0.0000000000,0.0000000000,1.0000000000,12.0296637796,3.1300000000,0.2326416602
baseline_mixed,8,21,25.2900381595,6.4960573682,6.2600000000,12.5339807913,0.0000000000,0.0000000000,1.0000000000,12.5339807913,3.1300000000,0.2165352456
baseline_mixed,8,19,25.3213893602,7.5383136359,6.2600000000,11.5230757243,0.0000000000,0.0000000000,1.0000000000,11.5230757243,3.1300000000,0.2512771212
baseline_mixed,8,22,25.3762021555,6.0768260751,6.2600000000,13.0393760804,0.0000000000,0.0000000000,1.0000000000,13.0393760804,3.1300000000,0.2025608692
baseline_mixed,4,9,25.4097506503,14.5937890468,6.2339978468,4.4779551438,0.1040086129,0.0130010766,0.9958463014,4.4779551438,3.1169989234,0.4864596349
baseline_mixed,8,18,25.4762480474,8.1982658783,6.2600000000,11.0179821691,0.0000000000,0.0000000000,1.0000000000,11.0179821691,3.1300000000,0.2732755293
baseline_mixed,8,23,25.5092510644,5.7070214817,6.2600000000,13.5422295827,0.0000000000,0.0000000000,1.0000000000,13.5422295827,3.1300000000,0.1902340494
baseline_mixed,8,24,25.6848595109,5.3798263945,6.2600000000,14.0450331164,0.0000000000,0.0000000000,1.0000000000,14.0450331164,3.1300000000,0.1793275465
baseline_mixed,7,14,25.7593307543,11.0362993572,6.2600000000,8.4630313971,0.0000000000,0.0000000000,1.0000000000,8.4630313971,3.1300000000,0.3678766452
baseline_mixed,8,17,25.7704125208,8.9932386981,6.2600000000,10.5171738227,0.0000000000,0.0000000000,1.0000000000,10.5171738227,3.1300000000,0.2997746233
baseline_mixed,6,12,25.8605190392,12.6214260665,6.2600000000,6.9790929727,0.0000000000,0.0000000000,1.0000000000,6.9790929727,3.1300000000,0.4207142022
baseline_mixed,0,5,26.2026558927,14.5937890468,4.8645963489,1.1626558927,5.5816146042,0.3380021768,0.7770920685,1.1626558927,2.4322981745,0.4864596349
baseline_mixed,8,16,26.2120597844,9.9437288640,6.2600000000,10.0083309204,0.0000000000,0.0000000000,1.0000000000,10.0083309204,3.1300000000,0.3314576288
baseline_mixed,5,10,26.3187431140,14.5937890468,6.2600000000,5.4649540672,0.0000000000,0.0000000000,1.0000000000,5.4649540672,3.1300000000,0.4864596349
baseline_mixed,8,15,26.7593307543,11.0362993572,6.2600000000,9.4630313971,0.0000000000,0.0000000000,1.0000000000,9.4630313971,3.1300000000,0.3678766452
baseline_mixed,2,6,26.8540987698,17.4256997682,5.9171724015,2.1399162061,1.3713103940,0.1077339989,0.9452352079,2.1399162061,2.9585862007,0.5808566589
baseline_mixed,7,13,26.8605190392,12.6214260665,6.2600000000,7.9790929727,0.0000000000,0.0000000000,1.0000000000,7.9790929727,3.1300000000,0.4207142022
baseline_mixed,3,7,27.0999607773,17.4256997682,6.1326403994,3.0321822072,0.5094384026,0.0485826351,0.9796550159,3.0321822072,3.0663201997,0.5808566589
baseline_mixed,6,11,27.3187431140,14.5937890468,6.2600000000,6.4649540672,0.0000000000,0.0000000000,1.0000000000,6.4649540672,3.1300000000,0.4864596349
baseline_mixed,1,5,27.5246452131,17.4256997682,5.4398734177,1.3785656980,3.2805063291,0.2386494919,0.8689893639,1.3785656980,2.7199367089,0.5808566589
baseline_mixed,4,8,27.7598823320,17.4256997682,6.2298056695,3.9835995721,0.1207773222,0.0150971653,0.9951766245,3.9835995721,3.1149028347,0.5808566589
