s,S,average_daily_cost,average_fixed_order_cost,average_unit_order_cost,average_holding_cost,average_shortage_cost,stockout_rate,fill_rate,average_ending_inventory,average_order_quantity,order_frequency,simulation_average_daily_cost,simulation_cost_95_ci_low,simulation_cost_95_ci_high,simulation_stockout_rate,simulation_stockout_95_ci_low,simulation_stockout_95_ci_high,simulation_fill_rate,simulation_average_ending_inventory,simulation_average_order_quantity,absolute_cost_gap
2,23,21.3229029536,4.1819381493,6.1673603507,10.6030458564,0.3705585972,0.0302859302,0.9852013340,10.6030458564,3.0836801753,0.1393979383,21.3576712329,21.3179963452,21.3973461206,0.0310136986,0.0298769599,0.0321504374,0.9849439225,10.6150958904,3.0879589041,0.0347682793
4,17,21.3288084820,6.4960573682,6.2489227650,8.5395194088,0.0443089400,0.0055386175,0.9982304736,8.5395194088,3.1244613825,0.2165352456,21.3413287671,21.3034003646,21.3792571697,0.0054246575,0.0049000099,0.0059493052,0.9982737724,8.5388904110,3.1280136986,0.0125202852
1,24,21.3383590401,3.8399149760,6.0661660795,10.6569423026,0.7753356820,0.0543882009,0.9690361149,10.6569423026,3.0330830398,0.1279971659,21.3588356164,21.3163376569,21.4013335759,0.0542191781,0.0530078731,0.0554304830,0.9692652709,10.6630547945,3.0391232877,0.0204765763
4,15,21.3664688027,7.5383136359,6.2471201593,7.5295156447,0.0515193629,0.0064399204,0.9979425175,7.5295156447,3.1235600796,0.2512771212,21.3616849315,21.3175906677,21.4057791953,0.0068219178,0.0062128745,0.0074309611,0.9978226493,7.5155753425,3.1254246575,0.0047838712
4,18,21.4123424651,6.0768260751,6.2496741973,9.0445389817,0.0413032109,0.0051629014,0.9983505107,9.0445389817,3.1248370986,0.2025608692,21.4328082192,21.3945418387,21.4710745996,0.0047260274,0.0042491574,0.0052028974,0.9984970679,9.0472465753,3.1296986301,0.0204657541
3,11,21.4694635845,9.9437288640,6.1864560571,5.0451028919,0.2941757715,0.0288521392,0.9882517663,5.0451028919,3.0932280286,0.3314576288,21.4749452055,21.4280234153,21.5218669956,0.0293013699,0.0280433507,0.0305593890,0.9879973323,5.0399589041,3.0954931507,0.0054816210
4,14,21.5257502116,8.1982658783,6.2458565245,7.0250539068,0.0565739020,0.0070717377,0.9977406589,7.0250539068,3.1229282623,0.2732755293,21.5167397260,21.4736721490,21.5598073031,0.0073013699,0.0066872474,0.0079154923,0.9976766801,7.0099452055,3.1271369863,0.0090104856
3,22,21.5268992176,4.5908648014,6.2247981786,10.5704289520,0.1408072856,0.0136893342,0.9943767058,10.5704289520,3.1123990893,0.1530288267,21.5291780822,21.4891143845,21.5692417799,0.0138219178,0.0129920299,0.0146518057,0.9943170638,10.5629315068,3.1150821918,0.0022788646
4,19,21.5433298038,5.7070214817,6.2502632173,9.5470979740,0.0389471308,0.0048683913,0.9984446034,9.5470979740,3.1251316087,0.1902340494,21.5559589041,21.5191024944,21.5928153138,0.0046986301,0.0042287392,0.0051685211,0.9984985386,9.5394109589,3.1300273973,0.0126291003
0,8,21.5604325717,9.9437288640,5.3033220608,2.4866698900,3.8267117569,0.2310526815,0.8471760480,2.4866698900,2.6516610304,0.3314576288,21.5843561644,21.5205452945,21.6481670343,0.2315616438,0.2296503844,0.2334729033,0.8463382307,2.4841369863,2.6513972603,0.0239235927
2,24,21.6324767205,4.0036331703,6.1713132663,11.1027833492,0.3547469347,0.0289937615,0.9858327901,11.1027833492,3.0856566332,0.1334544390,21.6552739726,21.6145965122,21.6959514330,0.0287671233,0.0277571195,0.0297771271,0.9862034203,11.1140958904,3.0910821918,0.0227972521
2,9,21.6575900843,11.0362993572,6.0033544772,3.5913541586,1.0265820914,0.0837033425,0.9590023126,3.5913541586,3.0016772386,0.3678766452,21.6784520548,21.6234229724,21.7334811371,0.0844657534,0.0825931137,0.0863383931,0.9587908129,3.5883150685,3.0041643836,0.0208619705
4,20,21.7169654438,5.3798263945,6.2508268763,10.0496196782,0.0366924948,0.0045865618,0.9985346448,10.0496196782,3.1254134382,0.1793275465,21.7251780822,21.6876079080,21.7627482564,0.0048082192,0.0043155665,0.0053008718,0.9984701267,10.0544657534,3.1270136986,0.0082126384
1,8,21.7989095673,11.0362993572,5.6772631963,2.7543997990,2.3309472149,0.1630456404,0.9069110537,2.7543997990,2.8386315981,0.3678766452,21.8223972603,21.7614118971,21.8833826235,0.1633698630,0.1612788986,0.1654608274,0.9066875816,2.7516849315,2.8409726027,0.0234876929
